law_norm,corpus_name,corpus_article_count,corpus_max_article,gold_max_article,gold_unique_arts,occupancy,sig_goldmax>corpusmax,sig_corpus<gold,sig_low_occupancy,suspicion
행정소송법,행정소송법,46,46,741,51,1.0,True,True,False,5
집합건물의소유및관리에관한법률,집합건물의 소유 및 관리에 관한 법률,67,267,750,22,0.251,True,False,True,4
하도급거래공정화에관한법률시행령,하도급거래 공정화에 관한 법률 시행령,19,86,404,6,0.221,True,False,True,4
보험업법시행령,보험업법 시행령,107,719,751,5,0.149,True,False,True,4
민사소송법,민사소송법,502,502,998,186,1.0,True,False,False,3
형법,형법,372,372,751,90,1.0,True,False,False,3
헌법,대한민국헌법,131,130,766,71,1.008,True,False,False,3
민사집행법,민사집행법,312,312,750,60,1.0,True,False,False,3
소득세법,소득세법,177,177,183,60,1.0,True,False,False,3
특허법,특허법,232,232,436,51,1.0,True,False,False,3
지방세법,지방세법,154,154,260,50,1.0,True,False,False,3
저작권법,저작권법,142,142,751,32,1.0,True,False,False,3
지방자치법,지방자치법,211,211,741,32,1.0,True,False,False,3
독점규제및공정거래에관한법률,독점규제 및 공정거래에 관한 법률,130,130,251,30,1.0,True,False,False,3
국세기본법,국세기본법,90,90,128,30,1.0,True,False,False,3
노동조합및노동관계조정법,노동조합 및 노동관계조정법,96,96,97,30,1.0,True,False,False,3
정보통신망이용촉진및정보보호등에관한법률,정보통신망 이용촉진 및 정보보호 등에 관한 법률,76,76,751,30,1.0,True,False,False,3
산업재해보상보험법,산업재해보상보험법,129,129,672,28,1.0,True,False,False,3
신탁법,신탁법,147,147,750,26,1.0,True,False,False,3
가.민사소송법,민사소송법,502,502,735,24,1.0,True,False,False,3
지방세법시행령,지방세법 시행령,141,141,234,24,1.0,True,False,False,3
도시및주거환경정비법,도시 및 주거환경정비법,142,142,342,22,1.0,True,False,False,3
부동산등기법,부동산등기법,113,113,186,20,1.0,True,False,False,3
공공기관의정보공개에관한법률,공공기관의 정보공개에 관한 법률,29,29,343,20,1.0,True,False,False,3
공익사업을위한토지등의취득및보상에관한법률시행규칙,공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 시행규칙,69,69,85,19,1.0,True,False,False,3
실용신안법,실용신안법,52,52,78,18,1.0,True,False,False,3
약관의규제에관한법률,약관의 규제에 관한 법률,34,34,750,17,1.0,True,False,False,3
관세법,관세법,330,330,693,17,1.0,True,False,False,3
국유재산법,국유재산법,82,82,756,16,1.0,True,False,False,3
국세징수법,국세징수법,116,116,618,14,1.0,True,False,False,3
가등기담보등에관한법률,가등기담보 등에 관한 법률,18,18,921,13,1.0,True,False,False,3
건설산업기본법,건설산업기본법,101,101,398,13,1.0,True,False,False,3
국민건강보험법,국민건강보험법,119,119,347,13,1.0,True,False,False,3
근로기준법시행령,근로기준법 시행령,60,60,170,13,1.0,True,False,False,3
개인정보보호법,개인정보 보호법,76,76,396,13,1.0,True,False,False,3
국제사법,국제사법,96,96,413,12,1.0,True,False,False,3
가.나.민사소송법,민사소송법,502,502,728,11,1.0,True,False,False,3
